# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  59000    1.78e+00  2.10e+00    8.07e-03  7.69e-03    7.84e-02  9.24e-02    5.1e-04
  60000    1.95e+00  1.94e+00    1.05e-03  1.92e-03    8.71e-02  8.67e-02    5.0e-04
  61000    2.08e+00  1.68e+00    5.04e-03  5.98e-03    9.29e-02  7.52e-02    5.0e-04
  62000    2.67e+00  1.85e+00    1.51e-02  1.20e-02    1.20e-01  8.32e-02    4.9e-04
  63000    2.27e+00  1.95e+00    2.48e-02  2.60e-02    1.01e-01  8.66e-02    4.9e-04
  64000    2.92e+00  2.57e+00    1.14e-03  4.37e-03    1.33e-01  1.17e-01    4.8e-04
  65000    2.34e+00  2.08e+00    1.12e-02  1.06e-02    1.07e-01  9.46e-02    4.8e-04
  66000    2.32e+00  2.03e+00    5.62e-03  8.29e-03    1.07e-01  9.35e-02    4.7e-04
  67000    2.29e+00  1.83e+00    1.48e-02  1.48e-02    1.06e-01  8.42e-02    4.7e-04
  68000    1.32e+00  1.89e+00    3.68e-03  5.91e-03    6.15e-02  8.81e-02    4.6e-04
  69000    1.45e+00  1.59e+00    4.32e-03  6.80e-03    6.79e-02  7.40e-02    4.6e-04
  70000    1.71e+00  1.32e+00    1.47e-04  1.70e-03    8.10e-02  6.25e-02    4.5e-04
  71000    1.92e+00  1.85e+00    1.58e-02  1.45e-02    9.04e-02  8.69e-02    4.5e-04
  72000    2.26e+00  1.71e+00    9.57e-03  9.57e-03    1.08e-01  8.17e-02    4.4e-04
  73000    1.58e+00  1.78e+00    5.36e-03  3.77e-03    7.54e-02  8.50e-02    4.4e-04
  74000    1.98e+00  2.13e+00    4.16e-03  4.32e-03    9.57e-02  1.03e-01    4.3e-04
  75000    1.42e+00  1.65e+00    1.36e-02  1.08e-02    6.80e-02  7.96e-02    4.3e-04
  76000    2.04e+00  1.93e+00    9.84e-03  6.11e-03    9.99e-02  9.46e-02    4.2e-04
  77000    1.94e+00  1.75e+00    8.26e-03  6.93e-03    9.50e-02  8.57e-02    4.2e-04
  78000    2.01e+00  1.56e+00    2.79e-02  2.65e-02    9.75e-02  7.51e-02    4.1e-04
  79000    1.91e+00  1.99e+00    1.82e-03  1.11e-03    9.45e-02  9.87e-02    4.1e-04
  80000    1.82e+00  1.52e+00    3.07e-03  2.41e-03    9.11e-02  7.61e-02    4.0e-04
  81000    2.19e+00  1.75e+00    1.62e-02  1.76e-02    1.09e-01  8.68e-02    4.0e-04
  82000    1.46e+00  1.52e+00    4.18e-03  5.44e-03    7.39e-02  7.67e-02    3.9e-04
  83000    2.01e+00  2.33e+00    2.17e-03  5.41e-03    1.02e-01  1.18e-01    3.9e-04
  84000    2.26e+00  1.98e+00    1.58e-02  1.47e-02    1.15e-01  1.01e-01    3.8e-04
  85000    1.99e+00  1.90e+00    1.79e-02  2.02e-02    1.01e-01  9.64e-02    3.8e-04
  86000    1.30e+00  1.54e+00    7.98e-03  8.00e-03    6.71e-02  7.94e-02    3.7e-04
